Clinton Essex Franklin Library System (Total item count = 438),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Library Type: Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link: https://cefls.org/library-of-things/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baking Pans = 35,,Book Club in a Bag = 78,,Coding Kit = 5,,Empowering Girls Kits = 10,,Experience Kit = 9,,Fishing Pole Kits = 3,,Flannel Board Kits = 13,,Jump Start Early Literacy Kit = 31,,Let's Make Music Kit = 9,,Let's Play Games Kit = 7,,Makers Kit = 41,,Mother Goose Big Idea Kits = 93,,Photography Kit = 2,,Prep for Success Kit = 2,,Sensory Kit = 14,,Sewing Machines = 16,,VR Headsets = 9,,Weighted Blanket = 4,,WiFi Hotspot = 2,,Wonderbook = 55,
Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity
baguette pan,1,1984,1,Dash,1,code and create,1,Experience Africa,1,fishing rod kit,1,fishy tales,1,bedtime kit,1,ukelele,1,sequence dogs,1,legos kit ,2,counting 1-2-3,5,polaroid photography kit,1,Prep for Success Kit,2,for siblings,1,Sewing Machines,8,Oculus Go Standalone Virtual Reality,9,weighted blanket,4,hotspot,2,puppy talk,1
book pan,1,Daytripper,1,Code a pillar twist,1,lead the change,1,Fate and Fortune,1,fishing rod loan program,1,busy bunny,2,colors kit,1,xylophone,1,green eggs and ham game,1,beading kit,2,giant inflatable frog life cycle,1,soni photography kit,1,TOTAL ITEMS,2,medical visits,1,Brother sewing machine,7,TOTAL ITEMS,9,TOTAL ITEMS,4,TOTAL ITEMS,2,animal talk,1
Wilton bundt pan,1,Noggin,1,Star Wars the Force,1,protect and serve.,1,A Murder mystery kit,1,fishing rod loan program,1,freddie frog,1,music kit,1,violin,1,dungeons and dragons starter set ,1,magna-tiles kit,2,measurement,2,TOTAL ITEMS,2,,,communication skills,1,Singer sewing machine,1,,,,,,,amber pack,1
Wilton tractor pan,1,Mudbound ,1,Code and Go Robot Mouse,1,find your strength.,1,Game of Thrones,1,TOTAL ITEMS,3,say good night,1,families kit,1,blipblox,1,animals trivia challenge,1,loom knitting kit,1,live butterfly pavilion,1,,,,,exploring the senses,1,TOTAL ITEMS,16,,,,,,,ruby pack,1
Wilton horseshoe pan ,1,Nimona,1,Botley The Coding Robot Activity set,1,explore your world.,1,A girl's night in ,1,,,grandpa's farm,1,opposites kit,1,specdrums,1,friends and neighbors: the helping game,1,rainbow loom kit,1,recognizing same and different,7,,,,,learning about emotions,1,,,,,,,,,blast pack,1
Wilton cross pan,1,Ceremony,1,TOTAL ITEMS,5,save the planet.,1,World of Harry Potter,1,,,grandma's favorites,1,ABCs kit,1,mini keyboards,1,hedbanz: the quick question game of what am I,1,foam blocks kit,2,lakeshore liquid discovery tubes a fun way to explore the properties of liquids,2,,,,,thinking about senses,1,,,,,,,,,fall into reading,1
Wilton spaceship pan,1,Bettyville,1,,,soar to new heights.,1,Jump start early literacy kit,1,,,hansel and gretel,1,get inspired,1,electric guitar,1,monopoly game: star wars ,1,foam tangrams kit,2,exploring weather,5,,,,,empower yourself: spectrum sensory and support kits for women,1,,,,,,,,,hide and go read,1
Mickey mouse pan ,1,Persepolis,1,,,build a better future.,1,pottery wheel kit,2,,,who ate the food,1,weather kit,1,pat bells,1,TOTAL ITEMS,7,plastic tangrams kit,1,making sets,4,,,,,spectrum sensory and support kit for kids,2,,,,,,,,,ponies unite,1
