Livingston Public Library (Total item count = 61),,,,,,,,,,,,,,,,,,,,,,,
State: New Jersey,,,,,,,,,,,,,,,,,,,,,,,
Library Type: Public,,,,,,,,,,,,,,,,,,,,,,,
Link: https://livingstonlibrary.org/library-of-things/ ,,,,,,,,,,,,,,,,,,,,,,,
Arts & Crafts = 8,,Electronics & Technology = 18,,Games & Hobbies = 5,,Games: Outdoor = 2,,Music = 1,,Musical Instruments = 1,,Recreation = 6,,Science & Maker = 3,,Technology = 3,,Tools = 1,,Toys = 7,,Yard Games = 6,
Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity
Beginning Crochet Kit,1,Code and Go Mouse,1,Bedtime Songs Tonie Box (Blue),1,Giggle n Go Limbo,1,Bluetooth Karaoke Microphone (set of two),1,Ukulele,1,Birding Kit,1,Orboot Earth Globe,1,External CD/DVD Drive,1,Pressure Washer,1,Bedtime Songs Tonie Box (Blue),1,Backyard Bocce,1
Cards for Hospitalized Kids Kit,1,Crosley Vinyl Record Player/Turntable,1,Cake-N-Bake Challenge Game,1,Pickleball Set and Net,1,TOTAL ITEMS,1,TOTAL ITEMS,1,Travel Kit Disney,1,Orboot Interactive Dino AR Globe,1,Magnavox CD player,1,TOTAL ITEMS,1,Cake-N-Bake Challenge Game,1,Badminton,1
Coloring Kit,1,Electricity Usage Monitor,1,Disney Princess Tonie Box (Pink),1,TOTAL ITEMS,2,,,,,Travel Kit NJ & NYC,1,Orboot Mars Interactive Globe,1,Majority DVD player,1,,,Cubetto,1,Croquet Set,1
Cricut Joy,1,External CD/DVD Drive,1,Disney Tonie Box (Gray),1,,,,,,,Travel Kit Paris,1,TOTAL ITEMS,3,TOTAL ITEMS,3,,,Disney Princess Tonie Box (Pink),1,Ladder Toss Set,1
Knitting Kit,1,Google Chromebook,1,Garrett Metal Detector,1,,,,,,,Travel Kit Portugal,1,,,,,,,Disney Tonie Box (Gray),1,Lawn Size Chess,1
Origami Kit,1,Kodak Slide N Scan Digital Film Scanner,1,National Geographic Tonie Box (Green),1,,,,,,,Travel Kit Spain,1,,,,,,,National Geographic Tonie Box (Green),1,Lawn Sized Connect Four,1
Quilling,1,Magnavox CD player,1,TOTAL ITEMS,5,,,,,,,TOTAL ITEMS,6,,,,,,,Snap Circuits,1,TOTAL ITEMS,6
Sewing Machine,1,Majority DVD player,1,,,,,,,,,,,,,,,,,TOTAL ITEMS,7,,
TOTAL ITEMS,8,Megaphone,1,,,,,,,,,,,,,,,,,,,,
,,Mobile Hotspot,1,,,,,,,,,,,,,,,,,,,,
,,Nintendo Switch,1,,,,,,,,,,,,,,,,,,,,
,,Nintendo Switch Lite,1,,,,,,,,,,,,,,,,,,,,
,,Playstation 5,1,,,,,,,,,,,,,,,,,,,,
,,Portable Projector & 40 In Screen,1,,,,,,,,,,,,,,,,,,,,
,,Radio Cassette Player Recorder,1,,,,,,,,,,,,,,,,,,,,
,,Raspberry Pi,1,,,,,,,,,,,,,,,,,,,,
,,Telescope,1,,,,,,,,,,,,,,,,,,,,
,,Xbox Series X,1,,,,,,,,,,,,,,,,,,,,
,,TOTAL ITEMS,18,,,,,,,,,,,,,,,,,,,,
