Mahwah Public Library (Total item count = 147),,,,,,,,,,,,,
State: New Jersey,,,,,,,,,,,,,
Library Type: Public,,,,,,,,,,,,,
Link: https://www.mahwahlibrary.org/library-of-things/devices-things/ ,,,,,,,,,,,,,
Arts & Crafts = 12,,Audiovisual Equipment = 24,,Devices = 18,,Games = 43,,Household Tools = 36,,Musical Instruments = 9,,Science & Discovery = 5,
Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity
Brother Serger Overlock Machine,1,50-In-1 Action Camera Accessory Kit,1,2024 Kindle Paperwhite,1,4-in-1 Portable Wooden Board Game Set,1,3ft Plastic Folding Table,1,Casio Portable Keyboard,1,Bushnell H2O Proof Binoculars,1
Brother Sewing Machine,1,Anker Nebula Portable Projector,1,Akai USB MIDI Keyboard Controller,1,American Mahjong Game Set,1,6ft Plastic Folding Table,1,Donner Lyre Harp,1,Garrett Metal Detector,1
Circular Knitting Kit,1,Atari 40Th Anniversary Flashback 8 Gold,1,Autel AutoLink OBD2 Scanner,1,Azul,1,AiGerdinn 4-in-1 Soil Test Kit,1,Gecko Kalimba Thumb Piano,1,Hexeum Telescope,1
Cricut Joy,1,Blue Yeti USB Microphone,1,Bosch Digital Wall Scanner,1,Bananagrams,1,Anova Culinary Sous Vide Precision Cooker,1,Giantex Glockenspiel,1,OMAX Binocular Microscope,1
Cricut Joy Accessories,1,Bluetooth Speaker,1,Bosch Laser Distance Measure,1,Casino-Style Poker Chip Set,1,Autel AutoLink OBD2 Scanner,1,LP Aspire Wood Bongos,1,Sega Homestar Home Planetarium Star Projector,1
Ergonomic Crochet Hooks,1,Canon EOS Rebel Digital Camera,1,Bosch Self-Leveling Cross-Line Laser Level,1,Catan,1,Avid Power Electric Screwdriver Set,1,Otamatone,1,TOTAL ITEMS,5
Folding Display Easel,1,Doxie Go SE Scanner,1,Ceptics Travel Adapter Kit,1,Codenames,1,Berrcom Non Contact Infrared Forehead Thermometer,1,Ovation Applause Acoustic Guitar,1,,
Knit Picks Straight Knitting Needle Kit,1,Elgato Video Capture Device,1,Clore Jump-N-Carry Jump Starter,1,CDSK Trivia Game,1,Bissell Big Green Pet Pro Carpet Cleaner,1,Rakumi Steel Tongue Drum,1,,
Pantone Color Guide,1,Epson Tabletop Projection Screen,1,Etrkcity Digital Luggage Scale,1,Disc Golf Set,1,Black + Decker Thermal Leak Detector,1,Ranch Concert Ukulele,1,,
Scotch Thermal Laminator,1,External CD Drive,1,Floppy Disc Reader,1,Dungeons & Dragons Essentials Kit,1,Black+Decker Cordless Tire Inflator,1,TOTAL ITEMS,9,,
Sentro Knitting Machine,1,GoPro HERO9 Black Action Camera,1,JEXtream 5G Mobile Hotspot,1,Giant 4-In-A-Row,1,BONSEN Heavy Duty Paper Shredder,1,,,,
Stanwood Needlecraft Ball Winder,1,GYUEM Inflatable 20′ Outdoor Projection Screen,1,Klein Tools Digital Multimeter,1,GoSports Bocce Set,1,Bosch Line Level and Laser Pointer,1,,,,
