Port Washington Public Library (Total item count = 109),,,,,,,,,,,,,,,,,,,,,,,
State: New York,,,,,,,,,,,,,,,,,,,,,,,
Library Type: Public,,,,,,,,,,,,,,,,,,,,,,,
Link: https://www2.museumkey.com/things/byCategory/?code=portny11050&branchID=204,,,,,,,,,,,,,,,,,,,,,,,
Museum Passes = 30,,Arts & Crafts = 3,,Board Games = 1,,Electronics & Technology = 20,,Games: Outdoor = 17,,Health = 2,,"Health, Home & Auto = 3",,Household = 7,,Musical Instruments = 6,,Recreation = 5,,Science & Education = 1,,Video Games = 4,
Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity
American Airpower Museum,1,Knitting Machine,1,2-In-1 Checkers & Tic Tac Toe Game ,1,Adult Fiction Kindle,1,Badminton Set,1,Portable Digital Magnifier,1,Air Compressor,1,Air Quality Monitor,1,Acoustic Guitar,1,Birdwatching Kit,1,Graphing Calculator,1,Commodore 64 Console,1
American Kennel Club Museum of the Dog,1,Pom Pom Tassel Maker,1,TOTAL ITEMS,1,Adult Nonfiction Kindle,1,Bocce Ball Set,1,Robotic Therapy Dog,1,Happy Birthday Yard Sign,1,Electric Air Pump,1,Cabasa Hand Shaker,1,Empire Pass Pack,1,TOTAL ITEMS,1,Nintendo Switch Lite Console,1
Children's Museum of Manhattan,1,Sewing Machine,1,,,Bluetooth Speaker,1,Bowling Set,1,TOTAL ITEMS,2,Jump Starter,1,Jewelry Cleaner,1,Drum Pad,1,Hiking Kit,1,,,PlayStation Classic Console,1
Cold Spring Harbor Fish Hatchery & Aquarium,1,TOTAL ITEMS,3,,,CD/DVD Writer,1,Cornhole Game,1,,,TOTAL ITEMS,3,Laser Level,1,Karaoke Party Pack,1,Metal Detector,1,,,Super Nintendo Classic Console,1
Cradle of Aviation,1,,,,,Chromebook,1,Domino Set,1,,,,,Paper Shredder,1,Keyboard Musical Instrument,1,Orion StarBlast Telescope,1,,,TOTAL ITEMS,4
Empire Pass,1,,,,,Go Pro Camera,1,Giant Chess,1,,,,,Stud Finder,1,Ukulele,1,TOTAL ITEMS,5,,,,
The Frick Collection,1,,,,,Google Cardboard,1,Giant Connect 4,1,,,,,Tool Set,1,TOTAL ITEMS,6,,,,,,
Garvies Point Museum and Preserve,1,,,,,Hotspot T-Mobile,1,Giant Dice,1,,,,,TOTAL ITEMS,7,,,,,,,,
Guggenheim,1,,,,,Light Therapy Lamp,1,Giant Jenga,1,,,,,,,,,,,,,,
Hofstra University Museum of Art,1,,,,,Mini Projector and Screen,1,Horseshoe Set,1,,,,,,,,,,,,,,
Holocaust Memorial and Tolerance Center,1,,,,,Portable Computer Monitor,1,Kan Jam Game,1,,,,,,,,,,,,,,
Intrepid Museum,1,,,,,Portable DVD Player,1,Kubb Game,1,,,,,,,,,,,,,,
The Jewish Museum,1,,,,,Power Bank,1,Laser Tag,1,,,,,,,,,,,,,,
Long Island Children's Museum,1,,,,,Ring Light with Tripod,1,Lawn Darts,1,,,,,,,,,,,,,,
Long Island Explorium,1,,,,,Roku Streaming Stick,1,Pickleball,1,,,,,,,,,,,,,,
Long Island Music and Entertainment Hall of Fame,1,,,,,Slide & Scan Digital Film Scanner,1,Spike Ball,1,,,,,,,,,,,,,,
MoMA | The Museum of Modern Art,1,,,,,Universal Travel Adapter,1,Water Sprinkler,1,,,,,,,,,,,,,,
Museum of the City of New York,1,,,,,Vinyl Record Player,1,TOTAL ITEMS,17,,,,,,,,,,,,,,
Museum of the Moving Image,1,,,,,Wireless Keyboard,1,,,,,,,,,,,,,,,,
Nassau County Firefighters Museum,1,,,,,Young Adult Kindle Paperwhite,1,,,,,,,,,,,,,,,,
Nassau County Museum of Art,1,,,,,TOTAL ITEMS,20,,,,,,,,,,,,,,,,
New York Hall of Science,1,,,,,,,,,,,,,,,,,,,,,,
New York Historical Society,1,,,,,,,,,,,,,,,,,,,,,,
New York Transit Museum,1,,,,,,,,,,,,,,,,,,,,,,
Old Westbury Gardens,1,,,,,,,,,,,,,,,,,,,,,,
Planting Fields Arboretum State Historic Park,1,,,,,,,,,,,,,,,,,,,,,,
Raynham Hall Museum,1,,,,,,,,,,,,,,,,,,,,,,
Sands Point Preserve Conservancy,1,,,,,,,,,,,,,,,,,,,,,,
"Vanderbilt Mansion, Museum & Planetarium",1,,,,,,,,,,,,,,,,,,,,,,
Whaling Museum & Education Center of Cold Spring Harbor,1,,,,,,,,,,,,,,,,,,,,,,
TOTAL ITEMS,30,,,,,,,,,,,,,,,,,,,,,,
