Westport Library (Total item count = 89),,,,,,,,,,,,,,,,,
State: Connecticut,,,,,,,,,,,,,,,,,
Library Type: Public,,,,,,,,,,,,,,,,,
Link: https://westportlibrary.libguides.com/LOT ,,,,,,,,,,,,,,,,,
Arts & Crafts = 12,,Board Games = 10,,Equipment = 41,,Fitness = 1,,Kitchen = 8,,Media = 1,,Puzzles = 10,,Recreation = 4,,Science and Technology = 2,
Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity
Pom pom and tassle maker,1,Catan,1,Nintendo Switch,1,Kayak,0,coffee urn ,1,Drawing tablet kit,1,Rose Main Reading Room puzzle,1,ukulele,3,UV Wand,0
knitting loom for scarves and hats,1,Cards against humanity,1,"bluetooth speaker portable, waterproof",1,walking sticks ,1,kitchen scale ,1,TOTAL ITEMS,1,Lakeside heaven,1,steel tongue drum,1,Compass,1
embroidery and sewing machine,1,Collector's edition connect four,1,Nintendo Switch 2,1,TOTAL ITEMS,1,various baking tins and molds,1,,,all the dogs,1,TOTAL ITEMS,4,Microscope,1
knitting loom for scarves and blankets,1,Jenga giant board game,1,bubble machine,2,,,bundt pan,1,,,san francisco starry night,1,,,TOTAL ITEMS,2
button maker,0,Codenames duet,1,projector,1,,,springform pan set,0,,,cats at work,1,,,,
sewing machine,1,Sushi go,1,metal detector,2,,,decorative cake pan - 10 piece letter and number,1,,,the wonderful world of oz ,0,,,,
LapLoom,1,Shadows in the forest,1,smart phone gimbal kit,1,,,decorative cake pan - hello kitty,1,,,a happy holiday,1,,,,
Embossing Kit,1,What do you meme,1,"headphones, pro kit, DT 240",1,,,decorative cake pan - sunflower,1,,,bodega cat,1,,,,
Jewelry kit,1,The gate: a game of myth and magic,1,scanner for slides and negatives,1,,,decorative cake pan - heart,1,,,human body ,1,,,,
Tabletop easel,1,Magic the gathering arena starter kit,1,label maker,1,,,TOTAL ITEMS,8,,,english roses,1,,,,
button maker,1,TOTAL ITEMS,10,car code reader,1,,,,,,,language of flowers,1,,,,
Display easel,1,,,DJ portable scratch kit ,1,,,,,,,TOTAL ITEMS,10,,,,
Neolucida,1,,,DVD writer,1,,,,,,,,,,,,
TOTAL ITEMS,12,,,portable CD player,1,,,,,,,,,,,,
,,,,external dvd drive,1,,,,,,,,,,,,
,,,,golf rangefinder,0,,,,,,,,,,,,
,,,,tabletop easel,1,,,,,,,,,,,,
,,,,star projector,2,,,,,,,,,,,,
,,,,display easel,0,,,,,,,,,,,,
,,,,projector screen,2,,,,,,,,,,,,
,,,,Neolucida ,1,,,,,,,,,,,,
,,,,Laptop stand,1,,,,,,,,,,,,
,,,,collapsible laptop stand,1,,,,,,,,,,,,
,,,,portable jump starter with air pump,1,,,,,,,,,,,,
,,,,portable jump starter ,1,,,,,,,,,,,,
,,,,Crosley cruiser plus vinyl record player turntable,1,,,,,,,,,,,,
,,,,Zoom H6 audio recording kit,1,,,,,,,,,,,,
,,,,leaf blower,1,,,,,,,,,,,,
,,,,infrared thermometer,1,,,,,,,,,,,,
,,,,air pump,1,,,,,,,,,,,,
,,,,audio adopter cord,1,,,,,,,,,,,,
,,,,bike repair toolkit,1,,,,,,,,,,,,
,,,,stud finder,1,,,,,,,,,,,,
,,,,ring light kit,1,,,,,,,,,,,,
,,,,therapy light,1,,,,,,,,,,,,
,,,,pack n play portable playard,1,,,,,,,,,,,,
,,,,scanner ,1,,,,,,,,,,,,
,,,,battery tester,1,,,,,,,,,,,,
,,,,magnifying lamp,1,,,,,,,,,,,,
,,,,TOTAL ITEMS,41,,,,,,,,,,,,
